A2BBX6,A,B1,nB1,B2,nB2,X
Cs2RbNbCl6,Cs,Rb,1,Nb,3,Cl
Cs2SmYbCl6,Cs,Sm,2,Yb,2,Cl
Cs2CdNdCl6,Cs,Cd,2,Nd,2,Cl
Cs2PFrCl6,Cs,P,3,Fr,1,Cl
Cs2EuDyCl6,Cs,Eu,2,Dy,2,Cl
Cs2RbTaCl6,Cs,Rb,1,Ta,3,Cl
Cs2TmAmCl6,Cs,Tm,2,Am,2,Cl
Cs2KLuCl6,Cs,K,1,Lu,3,Cl
Cs2NaPdCl6,Cs,Na,1,Pd,3,Cl
Cs2MnTmCl6,Cs,Mn,2,Tm,2,Cl
Cs2CuNpCl6,Cs,Cu,1,Np,3,Cl
Cs2UCl6,Cs,U,4,Vac,0,Cl
Cs2NaSbCl6,Cs,Na,1,Sb,3,Cl
Cs2CuCeCl6,Cs,Cu,1,Ce,3,Cl
Cs2CrRaCl6,Cs,Cr,2,Ra,2,Cl
Cs2ScTlCl6,Cs,Sc,3,Tl,1,Cl
Cs2KYbCl6,Cs,K,1,Yb,3,Cl
Cs2SrDyCl6,Cs,Sr,2,Dy,2,Cl
Cs2TmAuCl6,Cs,Tm,3,Au,1,Cl
Cs2SmTmCl6,Cs,Sm,2,Tm,2,Cl
Cs2MnYbCl6,Cs,Mn,2,Yb,2,Cl
Cs2CuPuCl6,Cs,Cu,1,Pu,3,Cl
Cs2BTlCl6,Cs,B,3,Tl,1,Cl
Cs2NiHgCl6,Cs,Ni,3,Hg,1,Cl
Cs2LiNpCl6,Cs,Li,1,Np,3,Cl
Cs2ZnTmCl6,Cs,Zn,2,Tm,2,Cl
Cs2GaAgCl6,Cs,Ga,3,Ag,1,Cl
Cs2NaAgCl6,Cs,Na,1,Ag,3,Cl
Cs2LiCeCl6,Cs,Li,1,Ce,3,Cl
Cs2AsHgCl6,Cs,As,3,Hg,1,Cl
Cs2CoHgCl6,Cs,Co,3,Hg,1,Cl
Cs2CoDyCl6,Cs,Co,2,Dy,2,Cl
Cs2AuTlCl6,Cs,Au,1,Tl,3,Cl
Cs2CaCrCl6,Cs,Ca,2,Cr,2,Cl
Cs2NaScCl6,Cs,Na,1,Sc,3,Cl
Cs2CrAgCl6,Cs,Cr,3,Ag,1,Cl
Cs2FeDyCl6,Cs,Fe,2,Dy,2,Cl
Cs2MnAgCl6,Cs,Mn,3,Ag,1,Cl
Cs2ErAuCl6,Cs,Er,3,Au,1,Cl
Cs2KTmCl6,Cs,K,1,Tm,3,Cl
Cs2SbTlCl6,Cs,Sb,3,Tl,1,Cl
Cs2DyPbCl6,Cs,Dy,2,Pb,2,Cl
Cs2GeTmCl6,Cs,Ge,2,Tm,2,Cl
Cs2ZnYbCl6,Cs,Zn,2,Yb,2,Cl
Cs2NiDyCl6,Cs,Ni,2,Dy,2,Cl
Cs2ZnHgCl6,Cs,Zn,2,Hg,2,Cl
Cs2CuPrCl6,Cs,Cu,1,Pr,3,Cl
Cs2LiPuCl6,Cs,Li,1,Pu,3,Cl
Cs2KTlCl6,Cs,K,1,Tl,3,Cl
Cs2ScRbCl6,Cs,Sc,3,Rb,1,Cl
Cs2CuNdCl6,Cs,Cu,1,Nd,3,Cl
Cs2RbAgCl6,Cs,Rb,1,Ag,3,Cl
Cs2YAuCl6,Cs,Y,3,Au,1,Cl
Cs2KErCl6,Cs,K,1,Er,3,Cl
Cs2VRaCl6,Cs,V,2,Ra,2,Cl
Cs2EuNpCl6,Cs,Eu,2,Np,2,Cl
Cs2AgAcCl6,Cs,Ag,1,Ac,3,Cl
Cs2HoAuCl6,Cs,Ho,3,Au,1,Cl
Cs2GeYbCl6,Cs,Ge,2,Yb,2,Cl
Cs2MgTmCl6,Cs,Mg,2,Tm,2,Cl
Cs2GeHgCl6,Cs,Ge,2,Hg,2,Cl
Cs2LiPrCl6,Cs,Li,1,Pr,3,Cl
Cs2CdPtCl6,Cs,Cd,2,Pt,2,Cl
Cs2CaMnCl6,Cs,Ca,2,Mn,2,Cl
Cs2CuAmCl6,Cs,Cu,1,Am,3,Cl
Cs2LiNdCl6,Cs,Li,1,Nd,3,Cl
Cs2RbPdCl6,Cs,Rb,1,Pd,3,Cl
Cs2KYCl6,Cs,K,1,Y,3,Cl
Cs2DyAmCl6,Cs,Dy,2,Am,2,Cl
Cs2PtRaCl6,Cs,Pt,2,Ra,2,Cl
