comp,lattice_a_primitive,lattice_a_conventional,distance_B1_X,distance_B1_A,size_Oh_B1,distance_B2_X,distance_B2_A,size_Oh_B2,calc_oct_mismatch
1145_CsAgGdCl,7.504521024575002,10.612995412068004,2.6767790160307143,4.595561818549293,5.353558032061428,2.629718690003287,4.595561818549293,5.259437380006575,0.013
1144_CsCaAgCl,7.403461991962944,10.470076357547724,2.6742595820495643,4.533676052599587,5.348519164099129,2.5607785967242984,4.533676052599587,5.121557193448596,0.031348
1146_CsAuNbCl,7.281788128945728,10.298003530282452,2.678057066177349,4.459166332743218,5.356114132354699,2.4709446989638773,4.459166332743218,4.941889397927754,0.057213
1147_CsZnBaCl,7.63714901365697,10.800559712977993,2.4434752913517457,4.676779543264853,4.8869505827034905,2.9568045651372508,4.676779543264853,5.913609130274503,0.141804
1148_CsAuTaCl,7.466303568708272,10.55894776766188,2.8652480072722915,4.572158502014088,5.730496014544583,2.414225876558648,4.572158502014088,4.828451753117297,0.124592
1149_CsDyHgCl,7.733881145057483,10.937359605121854,2.5999271705499805,4.736015634180631,5.199854341099961,2.8687526320109464,4.736015634180631,5.737505264021894,0.074261
1150_CsNdPtCl,7.473410235273624,10.568998111901864,2.7011790268213893,4.5765104287283895,5.402358053642779,2.583320029129541,4.5765104287283895,5.166640058259084,0.032558
1151_CsHgYCl,7.733306708100645,10.936547228586766,2.866784297942786,4.735663864822218,5.733568595885572,2.6014893163505963,4.735663864822218,5.202978632701193,0.073286
1152_CsDyYbCl,7.381170689112427,10.438551694733558,2.639836877334587,4.520025473178183,5.279673754669174,2.579438970032192,4.520025473178183,5.158877940064383,0.016685
1153_CsHgHoCl,7.71796477249799,10.914850455184435,2.86922693512847,4.726268886348933,5.73845387025694,2.588198292463749,4.726268886348933,5.176396584927498,0.077632
1154_CsCrEuCl,7.43068815390538,10.508579965018084,2.5950656346368186,4.550348603702925,5.190131269273639,2.6592243478722235,4.550348603702925,5.318448695744445,0.017723
1155_CsHgScCl,7.53814739867955,10.660550286380088,2.85671799586544,4.616153683163313,5.713435991730875,2.473557147324604,4.616153683163313,4.947114294649212,0.105846
1157_CsTiDyCl,7.2721100567530685,10.284316669329968,2.521608903553512,4.453239748101759,5.043217807107024,2.6205494311114723,4.453239748101759,5.241098862222944,0.027332
1156_CsNaDyCl,7.533139645308747,10.653468253646077,2.7246014404816687,4.613087073034271,5.4492028809633375,2.6021326863413696,4.613087073034271,5.204265372682739,0.033831
1158_CsBeRaCl,7.498840172832554,10.604961474488,2.286541029449232,4.592083021530944,4.573082058898466,3.015939707794768,4.592083021530944,6.031879415589536,0.201491
1159_CsMnSrCl,7.50114900814736,10.608226660703489,2.491916541199533,4.593496888636293,4.983833082399065,2.8121967891522104,4.593496888636293,5.624393578304422,0.088475
1160_CsZnPbCl,7.441778490558312,10.524264069523944,2.446767051742887,4.557140020171767,4.893534103485772,2.815364983019085,4.557140020171767,5.630729966038173,0.101823
1161_CsPdDyCl,7.362267527550439,10.411818587280864,2.5985276460804503,4.508449698090117,5.197055292160899,2.607381647559982,4.508449698090117,5.214763295119965,0.002446
1162_CsMgAmCl,7.436926481847046,10.51740229299972,2.493775680810717,4.554168783779232,4.98755136162144,2.764925465689142,4.554168783779232,5.529850931378279,0.074903
1163_CsAgEuCl,7.525930277948253,10.643272668548736,2.675603863813352,4.608672255183899,5.351207727626703,2.646032470461016,4.608672255183899,5.292064940922032,0.008169
1164_CsRbCoCl,7.44871756195349,10.53407739840128,3.036870107084826,4.561389316223499,6.073740214169651,2.230168592115814,4.561389316223499,4.460337184231629,0.222846
1165_CsTlFeCl,7.51345530714807,10.625630395652909,2.9409865005125297,4.601032926929758,5.88197300102506,2.3718286973139246,4.601032926929758,4.743657394627848,0.157226
1166_CsKTaCl,7.594310229685646,10.739976523690174,2.9258530669759644,4.650546252782087,5.851706133951931,2.444135194869123,4.650546252782087,4.888270389738243,0.133071
1168_CsCaNpCl,7.6555738355929455,10.826616346044156,2.679588532480409,4.688062396351048,5.359177064960821,2.73371964054167,4.688062396351048,5.467439281083338,0.014953
1169_CsRbAsCl,7.802331568816714,11.034163122752345,3.0390873002664405,4.777932786902481,6.078174600532881,2.477994261109732,4.777932786902481,4.955988522219463,0.154998
1170_CsMnBaCl,7.70475876409066,10.896174338989978,2.488102254681568,4.7181818908147175,4.9762045093631375,2.959984914813421,4.7181818908147175,5.91996982962684,0.130354
1171_CsRbNiCl,7.499914351428034,10.60648059242614,3.0276332084112987,4.59274081889383,6.055266416822595,2.275607087801771,4.59274081889383,4.551214175603546,0.207742
1172_CsKNbCl,7.611451880921429,10.764218479349289,2.926151011180923,4.661043327501193,5.852302022361846,2.4559582284937216,4.661043327501193,4.911916456987443,0.129888
