CsLiCeCl,Cs,Li,1,Ce,3,Cl,1431
CsHgNiCl,Cs,Hg,1,Ni,3,Cl,1432
CsCuPuCl,Cs,Cu,1,Pu,3,Cl,1433
CsMnHgCl,Cs,Mn,2,Hg,2,Cl,1434
CsZnTmCl,Cs,Zn,2,Tm,2,Cl,1435
CsCoDyCl,Cs,Co,2,Dy,2,Cl,1436
CsHgCoCl,Cs,Hg,1,Co,3,Cl,1437
CsAuTlCl,Cs,Au,1,Tl,3,Cl,1438
CsNaScCl,Cs,Na,1,Sc,3,Cl,1439
CsFeDyCl,Cs,Fe,2,Dy,2,Cl,1440
CsAgCrCl,Cs,Ag,1,Cr,3,Cl,1441
CsCaCrCl,Cs,Ca,2,Cr,2,Cl,1442
CsAgMnCl,Cs,Ag,1,Mn,3,Cl,1443
CsDyPbCl,Cs,Dy,2,Pb,2,Cl,1444
CsTlSbCl,Cs,Tl,1,Sb,3,Cl,1445
CsTlPdCl,Cs,Tl,1,Pd,3,Cl,1446
CsAuErCl,Cs,Au,1,Er,3,Cl,1447
CsKTmCl,Cs,K,1,Tm,3,Cl,1448
