,chemsys,nsites,E_MACE-MPA-0,E_MACE-MP-0b3,E_MatPES-r2SCAN,E_SevenNet
mp-1607,Cu-Yb,6,-23.457876307153132,-23.405958888877873,-90.57609558105469,-23.43362045288086
mp-1937,Cu-Yb,8,-24.98083764029085,-24.901503026268387,-187.33241271972656,-24.918514251708984
mp-1103426,Cu-Yb,12,-42.389932157123724,-42.45064020834813,-231.2171173095703,-42.54817199707031
mp-1193632,Cu-Yb,29,-109.58838355099724,-109.9034233718198,-466.8116760253906,-109.92715454101562
mp-569334,Mn-Nd,12,-89.1527333035007,-89.14375600859556,-249.86972045898438,-88.736083984375
mp-1102507,Mn-Nd,12,-89.10119946045211,-89.14134802359042,-249.86032104492188,-89.31259155273438
mp-20642,Mn-Nd,13,-114.02271528047754,-113.8970596564972,-209.4458465576172,-113.9134750366211
mp-1192883,Mn-Nd,29,-233.49230654978828,-233.56495676165804,-538.0606689453125,-233.5416259765625
mp-1185083,K-Y,2,-6.58553542623142,-6.631795704048974,-25.187807083129883,-6.54506778717041
mp-973271,K-Y,4,-7.527712787248837,-7.492378466197622,-35.965606689453125,-7.520460605621338
mp-1185095,K-Y,4,-7.470716808524036,-7.509335502958003,-35.93531799316406,-7.472172737121582
mp-976373,K-Y,8,-15.069129734610003,-15.050773399998905,-71.94971466064453,-15.099124908447266
mp-1111280,F-Li-Ti,10,-53.73275251550348,-53.77188327336332,-70.48424530029297,-53.68315887451172
mp-7603,F-Li-Ti,18,-104.36647792079366,-103.97759270725248,-135.71463012695312,-104.3868179321289
mp-21540,F-Li-Ti,60,-335.0092314597111,-335.1582878383948,-436.78436279296875,-335.12060546875
mp-1183987,Ga-Hg,4,-3.6532372492366916,-3.6897045985025976,-158.9719696044922,-3.6554439067840576
mp-1184268,Ga-Hg,4,-9.0663807147914,-9.050734877761741,-82.8751449584961,-9.048768997192383
mp-1184013,Ga-Hg,4,-3.647385770233792,-3.6742324962116584,-158.99099731445312,-3.6808021068573
mp-1184289,Ga-Hg,8,-18.104736494197002,-18.078606329631892,-165.76846313476562,-18.127742767333984
mp-1184024,Ga-Hg,8,-7.346804369668245,-7.2470382339372375,-317.9442443847656,-7.328189849853516
mp-27421,Bi-F-Rb,8,-33.7761671742282,-33.7693966844595,-110.27100372314453,-33.777530670166016
mp-1209619,Bi-F-Rb,10,-43.854149801687605,-43.839917927834115,-145.87115478515625,-43.78608703613281
mp-1237338,Bi-F-Rb,10,-43.725182481449636,-43.682628636975814,-145.74444580078125,-43.65289306640625
mp-677028,Bi-F-Rb,10,-43.5424740186784,-43.70713763926856,-187.9050750732422,-43.414955139160156
mp-1173046,Bi-F-Rb,10,-41.46345240809061,-41.49170564451283,-186.21099853515625,-41.4145393371582
mp-1113922,Bi-F-Rb,10,-44.25101310165544,-44.26166979961443,-146.5316619873047,-44.260467529296875
mp-675214,Bi-F-Rb,16,-73.68875698334313,-73.65636451862406,-279.9227294921875,-73.62550354003906
